,scrapping_date,reviewer_name,review_date,rating,review_title,review_content,date_of_stays
10,2022-11-06 13:40:43.500178,nation99,Oct 2022,1.0,I competent and unhelpful staff,Reception refused a very important package from fedex for us though we had cleared it with them earlier. No apologies and a couldnt care less attitude to a diamond member with 40 years loyalty. Bill had to be altered every day as they forgot to credit the worthless 18$ per day gift....you cant even buy breakfast with that. And the previous occupants coffee still in dirty coffee maker when we arrived.,October 2022
11,2022-11-06 13:40:43.540373,Katherine Y,Jul 2021,5.0,"Large, clean rooms in a central location in Chicago","First of all, like most reviews here indicated, the hotel has a very good location. It's directly next to the State/Lake ""L"" station, where many subway and bus lines go through, as well as only a few minutes walk away from other stations like Washington if you are trying to on the Blue Line. It's walkable to many famous Chicago attractions. Millennium Park where the ""Bean"" is was very close by.   Check-in was smooth. I did mobile check-in and needed to grab some keys from the front desk, and they were able to help with with promptness and a kind attitude. As with most Hilton hotels, I recommend downloading the Hilton app and doing mobile check-in since you get to personally pick your room on the app.   The room was much larger than I expected. We had the standard king room as…",June 2021
12,2022-11-06 13:40:43.578173,gottagoohio,Oct 2022,4.0,Good Time,"PROS The location of this hotel is GREAT.  We were able to walk to most parks, museums restaurants, and shops.  Great Location but when we arrived there was construction right in front of the hotel so be aware, it doesn't look appealing.  The staff was all very nice and accommodating.  I don't remember seeing a business center if there was one.    The concierge was excellent at giving directions and places to go.  We arrived early so we were able to leave our bags and explore the city.  Such a great place with lots of cultures.   The rooftop club/lounge was awesome.  Even though they have a small menu the food was good and the atmosphere was great.    CONS There weren't many cons.  We stay at a lot of Hilton hotels but this was the first that didn't offer breakfast.  So instead…",October 2022
13,2022-11-06 13:40:43.600404,Alyson B,Oct 2022,5.0,Well appointed hotel in the heart of downtown.,"Super hotel in the heart of Chicago within walking distance or dining, sights and shopping.Staff was very helpful and room was spacious and well appointed. Food was delicious.We will stay here again.",October 2022
14,2022-11-06 13:40:43.617098,retrorabbit66,Oct 2022,3.0,"For the price, you can do better","We stayed at theWit for a show at Chicago Theatre last weekend.  The hotel location was perfect for this and we enjoyed the views from our corner room overlooking the venue (902).  However, for the price we paid, the hotel was very underwhelming.  It felt like a tired, mid-priced business hotel but with high end pricing.  Everything about it felt like they were trying too hard to cater to the Instagram/influencer crowd going to the Roof bar while letting everything else in the hotel go.  We had the same experience as another reviewer of this room.  Furniture was scratched and scuffed, the side table by the couch had enough dust that I could visibly write ""unacceptable"" with my finger, and the water spots on the sink faucet at check in made it look like the room had been used and…",October 2022
15,2022-11-06 13:40:43.633093,Lana P,Oct 2022,3.0,Wit...What Happened?,"I am confused by my 4 days I stayed at TheWit. I was in Chicago for work. We were supposed to stay at The Virgin. Due to an error on my part, the hotel sold out before I got a room. No problem... prepandemic TheWit was my favorite hotel. What I did not realize,  post pandemic,  this hotel seems to have lost its shine. Pulling up, no one was there to take my bags. No big deal. In to the lobby, checked in and got my cookie, ordered housekeeping, and was given room 902. This is a corner room with a tub at 550.00 a night. Total was $2500 dollars. This is equivalent to an all inclusive resort in Cancun. I am expecting something at this price point.  I open the door to blah and seemingly dirty. The carpet is gummy and needs a good shampoo or replaced. The furniture has seen better…",October 2022
16,2022-11-06 13:40:43.649908,Thomas W,Oct 2022,5.0,Fantastic Service,"We recently held a 3 day meeting of the Board of Directors of the National Association of Election Officials ( Election Center) . This meeting was successful in large part to the very professional and friendly staff we dealt with during our stay including front desk personnel, food service, IT and housekeeping staff. We were particularly grateful to Sarah Anzelmo and the entire sales and food an beverage staff for their patience and assistance in setting up this meeting. The service and quality of  food we were served was  fantastic. The Wit should be very proud of these people who do a great job in taking care of guests. We would highly recommend this hotel to any group looking for a great meeting venue.",September 2022
17,2022-11-06 13:40:43.666989,RGors,Oct 2022,5.0,Great Location and Clean Rooms,"We had a wonderful stay at theWit in Chicago, IL.  Our room was super clean and beds were very comfortable.  Nick was very helpful at check-in. We enjoyed the rooftop bar and the restaurant next door.  We will definitely be back and stay at theWit again.",October 2022
18,2022-11-06 13:40:43.686403,KevinAndLauraS,Oct 2022,1.0,Worst stay ever,I’ve stayed in this hotel more than a dozen times before. It has rapidly declined and I would not recommend staying here. They didn’t honor the original rate. The restaurant was ridiculously noisy. They gave away our two queen bed room to the group standing next us. Toilet clogged.,October 2022
19,2022-11-06 13:40:43.765560,Erica W,Oct 2022,2.0,Racial Profiling,BEWARE!!!!  My family chose to stay at theWit for the weekend during a very hard and personal time for us. We chose to book the spa king rooms and expected relaxation and top tier service. However during our stay my husband was racially profiled by theWit's staff member. My sister and her wife (an interracial couple) walked in to the hotel before my husband and I and they were not asked to provide proof of stay. After valeting our car their staff member abruptly forced his arm out in front of my husband and I to ask for our room key.  My husband (6'4 Black male in a business suit)  showed his valet parking ticket. Then theWit staff member aggressively asked again for our room key. My husband pulled out his room card from his wallet and then theWit staff member looked at us and…,October 2022
20,2022-11-06 13:40:49.749446,Michael L,Aug 2022,3.0,Great Location -- Poor Management -- Never Again,Travelled with my 88 yr old mom. Stayed in 2 rooms -- her room the temperature controls did not work.  My room housekeeping never visited.  In both rooms i had to move furniture to plug the phones back in.  Quality Control is non-existent here.  I asked for the manager and was ignored.  Called the Diamond Desk and was promised the manager would call.  Never contacted.  If they treat Hilton Diamonds this way i pity the ordinary guest.  Management simply does not care.  Stay elsewhere.,August 2022
21,2022-11-06 13:40:49.992737,Louis G,Aug 2022,5.0,Best Customer Service!,Shout out to Lidia and Carrie for this great review!  Honesty wasn't to thrilled to stay at the Wit for my buying trip until I meet the wonderful staff at the front desk! They were so welcoming  and funny!  Carrie took care of our group and made the stay 10 out of 10! Would stay again!,August 2022
22,2022-11-06 13:40:50.018327,Lynda L,Aug 2022,5.0,Pleasant and trouble free stay.,"The entire staff was very pleasant and accommodating. Room was spacious, clean, with all necessary amenities. The concierge, Zachary Reed was very helpful, kind, and hospitable. Will return. Recommend a very nice restaurant. Food was delicious and priced reasonably.",August 2022
23,2022-11-06 13:40:50.063788,Jennifer K,Aug 2022,5.0,Great staff and stay,"The staff was great, especially Carrie. There was an issue with the a/c in my room. Rather than having me deal with maintenance coming to fix it, she gave me a new room. And what a room!! Upgraded me which was so sweet or her and really helpful to me. I was staying for five days for client meetings working 14 hour days. She took all my stress away and I slept so good every night and was well rested and ready to go for the meetings every morning. Thanks, Carrie! I will stay at The Wit again because of you!!",July 2022
24,2022-11-06 13:40:50.093104,Vendola L,Jul 2022,5.0,Excellent  service & clean room,"The Wit gave me excellent  service. I strongly recommend  the CEO of Hilton give Zack a $10, 000 bonus. He was the one who gave me accurate information about the hotel and directions of surrounding area. He was greatly helpful for me & my friend. The the people at the front desk need to be recognized, too, they answered all our questions with very polite attitude.  Thank you! The room was very clean, too. The front desk was upfront with me that the housekeeper will not come and cleaned the room everyday; however,  if I needed something let them know & housekeeper will bring it. They did.",July 2022
25,2022-11-06 13:40:50.118200,I love Pancake,Jul 2022,5.0,"Great place, great location","This is a great option for any traveler. Great location, near all public transportation and only a few minutes walk from Millennium Park. The rooms are spacious and really comfortable. Staff is friendly and professional, a special shout out to Victoria at the front desk who was also upbeat and ready to help! Highly recommend!",July 2022
26,2022-11-06 13:40:50.215119,Lillian E,Jul 2022,5.0,llelam09,"We had a great experience. The King Spa room was amazing. I typically don't take baths when I'm traveling,  but I couldn't resist with the deep soaker tube and the beautiful views of the city.  We were greeted as soon as we stepped out of our Uber. All of the Staff was very attentive. We will most definitely be back.",July 2022
27,2022-11-06 13:40:50.245237,Keish128,Jul 2022,5.0,Never have I ever!,"Never have I ever been to a hotel and received such great customer service! Carrie was very pleasant and helpful from beginning to end. I arrived at theWit earlier than my room was ready, Carrie offered to have our bags held and gave suggestions on where we could visit until our room was ready. After an hour or so we came back to check on our room. I waited in line and when Carrie was done checking out the client in front of me she welcomed me. However, her pleasant greeting was quickly distracted by a rude customer asking questions about her bill after being helped by another front end staff. I could tell that Carrie was NOT pleased with the way she was interrupted, the thing is…. She was nothing but professional while tending to the needs of this customer even when she has to…",July 2022
28,2022-11-06 13:40:50.282530,Kayla U,Jul 2022,4.0,"Clean room, Great location","Great location to restaurants in river north. The room was very clean, nice, and I would definitely stay here again.  We really wanted to go to the rooftop but it was closed for a private party the night we were there which was disappointing,  so we went to Cerise instead, that is a block away. Staff was friendly!",June 2022
29,2022-11-06 13:40:50.314248,Rod B,Jul 2022,4.0,A Gem in the Loop,"Based on our first visit, the Wit could easily become our hotel of choice when we're in Chicago. The hospitality we received far exceeded our expectations. On a busy holiday weekend, we could only hope to check in early, and alas, our room wasn't ready when we arrived, but the front desk staff, led by the fabulous Carrie, took excellent care of us with gracious generosity (gift certificates to the restaurant, and shockingly, a bottle of prosecco delivered to the room!). The location is supremely convenient--steps from several ""L"" stops and Macy's on State St.--and a pleasant walk along the Chicago River or Magnificent Mile. Rooms are comfortable and sufficiently appointed. I would have liked to visit the rooftop but was told, somewhat abruptly by a staff member, that this wasn't…",July 2022
30,2022-11-06 13:40:52.455948,Michael L,Aug 2022,3.0,Great Location -- Poor Management -- Never Again,Travelled with my 88 yr old mom. Stayed in 2 rooms -- her room the temperature controls did not work.  My room housekeeping never visited.  In both rooms i had to move furniture to plug the phones back in.  Quality Control is non-existent here.  I asked for the manager and was ignored.  Called the Diamond Desk and was promised the manager would call.  Never contacted.  If they treat Hilton Diamonds this way i pity the ordinary guest.  Management simply does not care.  Stay elsewhere.,August 2022
31,2022-11-06 13:40:52.476033,Louis G,Aug 2022,5.0,Best Customer Service!,Shout out to Lidia and Carrie for this great review!  Honesty wasn't to thrilled to stay at the Wit for my buying trip until I meet the wonderful staff at the front desk! They were so welcoming  and funny!  Carrie took care of our group and made the stay 10 out of 10! Would stay again!,August 2022
32,2022-11-06 13:40:52.491707,Lynda L,Aug 2022,5.0,Pleasant and trouble free stay.,"The entire staff was very pleasant and accommodating. Room was spacious, clean, with all necessary amenities. The concierge, Zachary Reed was very helpful, kind, and hospitable. Will return. Recommend a very nice restaurant. Food was delicious and priced reasonably.",August 2022
33,2022-11-06 13:40:52.511081,Jennifer K,Aug 2022,5.0,Great staff and stay,"The staff was great, especially Carrie. There was an issue with the a/c in my room. Rather than having me deal with maintenance coming to fix it, she gave me a new room. And what a room!! Upgraded me which was so sweet or her and really helpful to me. I was staying for five days for client meetings working 14 hour days. She took all my stress away and I slept so good every night and was well rested and ready to go for the meetings every morning. Thanks, Carrie! I will stay at The Wit again because of you!!",July 2022
34,2022-11-06 13:40:52.525083,Vendola L,Jul 2022,5.0,Excellent  service & clean room,"The Wit gave me excellent  service. I strongly recommend  the CEO of Hilton give Zack a $10, 000 bonus. He was the one who gave me accurate information about the hotel and directions of surrounding area. He was greatly helpful for me & my friend. The the people at the front desk need to be recognized, too, they answered all our questions with very polite attitude.  Thank you! The room was very clean, too. The front desk was upfront with me that the housekeeper will not come and cleaned the room everyday; however,  if I needed something let them know & housekeeper will bring it. They did.",July 2022
35,2022-11-06 13:40:52.542970,I love Pancake,Jul 2022,5.0,"Great place, great location","This is a great option for any traveler. Great location, near all public transportation and only a few minutes walk from Millennium Park. The rooms are spacious and really comfortable. Staff is friendly and professional, a special shout out to Victoria at the front desk who was also upbeat and ready to help! Highly recommend!",July 2022
36,2022-11-06 13:40:52.560476,Lillian E,Jul 2022,5.0,llelam09,"We had a great experience. The King Spa room was amazing. I typically don't take baths when I'm traveling,  but I couldn't resist with the deep soaker tube and the beautiful views of the city.  We were greeted as soon as we stepped out of our Uber. All of the Staff was very attentive. We will most definitely be back.",July 2022
37,2022-11-06 13:40:52.623107,Keish128,Jul 2022,5.0,Never have I ever!,"Never have I ever been to a hotel and received such great customer service! Carrie was very pleasant and helpful from beginning to end. I arrived at theWit earlier than my room was ready, Carrie offered to have our bags held and gave suggestions on where we could visit until our room was ready. After an hour or so we came back to check on our room. I waited in line and when Carrie was done checking out the client in front of me she welcomed me. However, her pleasant greeting was quickly distracted by a rude customer asking questions about her bill after being helped by another front end staff. I could tell that Carrie was NOT pleased with the way she was interrupted, the thing is…. She was nothing but professional while tending to the needs of this customer even when she has to…",July 2022
38,2022-11-06 13:40:52.766177,Kayla U,Jul 2022,4.0,"Clean room, Great location","Great location to restaurants in river north. The room was very clean, nice, and I would definitely stay here again.  We really wanted to go to the rooftop but it was closed for a private party the night we were there which was disappointing,  so we went to Cerise instead, that is a block away. Staff was friendly!",June 2022
39,2022-11-06 13:40:52.805473,Rod B,Jul 2022,4.0,A Gem in the Loop,"Based on our first visit, the Wit could easily become our hotel of choice when we're in Chicago. The hospitality we received far exceeded our expectations. On a busy holiday weekend, we could only hope to check in early, and alas, our room wasn't ready when we arrived, but the front desk staff, led by the fabulous Carrie, took excellent care of us with gracious generosity (gift certificates to the restaurant, and shockingly, a bottle of prosecco delivered to the room!). The location is supremely convenient--steps from several ""L"" stops and Macy's on State St.--and a pleasant walk along the Chicago River or Magnificent Mile. Rooms are comfortable and sufficiently appointed. I would have liked to visit the rooftop but was told, somewhat abruptly by a staff member, that this wasn't…",July 2022
40,2022-11-06 13:40:54.095634,Michael L,Aug 2022,3.0,Great Location -- Poor Management -- Never Again,Travelled with my 88 yr old mom. Stayed in 2 rooms -- her room the temperature controls did not work.  My room housekeeping never visited.  In both rooms i had to move furniture to plug the phones back in.  Quality Control is non-existent here.  I asked for the manager and was ignored.  Called the Diamond Desk and was promised the manager would call.  Never contacted.  If they treat Hilton Diamonds this way i pity the ordinary guest.  Management simply does not care.  Stay elsewhere.,August 2022
41,2022-11-06 13:40:54.198373,Louis G,Aug 2022,5.0,Best Customer Service!,Shout out to Lidia and Carrie for this great review!  Honesty wasn't to thrilled to stay at the Wit for my buying trip until I meet the wonderful staff at the front desk! They were so welcoming  and funny!  Carrie took care of our group and made the stay 10 out of 10! Would stay again!,August 2022
42,2022-11-06 13:40:54.218745,Lynda L,Aug 2022,5.0,Pleasant and trouble free stay.,"The entire staff was very pleasant and accommodating. Room was spacious, clean, with all necessary amenities. The concierge, Zachary Reed was very helpful, kind, and hospitable. Will return. Recommend a very nice restaurant. Food was delicious and priced reasonably.",August 2022
43,2022-11-06 13:40:54.248166,Jennifer K,Aug 2022,5.0,Great staff and stay,"The staff was great, especially Carrie. There was an issue with the a/c in my room. Rather than having me deal with maintenance coming to fix it, she gave me a new room. And what a room!! Upgraded me which was so sweet or her and really helpful to me. I was staying for five days for client meetings working 14 hour days. She took all my stress away and I slept so good every night and was well rested and ready to go for the meetings every morning. Thanks, Carrie! I will stay at The Wit again because of you!!",July 2022
44,2022-11-06 13:40:54.266981,Vendola L,Jul 2022,5.0,Excellent  service & clean room,"The Wit gave me excellent  service. I strongly recommend  the CEO of Hilton give Zack a $10, 000 bonus. He was the one who gave me accurate information about the hotel and directions of surrounding area. He was greatly helpful for me & my friend. The the people at the front desk need to be recognized, too, they answered all our questions with very polite attitude.  Thank you! The room was very clean, too. The front desk was upfront with me that the housekeeper will not come and cleaned the room everyday; however,  if I needed something let them know & housekeeper will bring it. They did.",July 2022
45,2022-11-06 13:40:54.304328,I love Pancake,Jul 2022,5.0,"Great place, great location","This is a great option for any traveler. Great location, near all public transportation and only a few minutes walk from Millennium Park. The rooms are spacious and really comfortable. Staff is friendly and professional, a special shout out to Victoria at the front desk who was also upbeat and ready to help! Highly recommend!",July 2022
46,2022-11-06 13:40:54.326351,Lillian E,Jul 2022,5.0,llelam09,"We had a great experience. The King Spa room was amazing. I typically don't take baths when I'm traveling,  but I couldn't resist with the deep soaker tube and the beautiful views of the city.  We were greeted as soon as we stepped out of our Uber. All of the Staff was very attentive. We will most definitely be back.",July 2022
47,2022-11-06 13:40:54.369194,Keish128,Jul 2022,5.0,Never have I ever!,"Never have I ever been to a hotel and received such great customer service! Carrie was very pleasant and helpful from beginning to end. I arrived at theWit earlier than my room was ready, Carrie offered to have our bags held and gave suggestions on where we could visit until our room was ready. After an hour or so we came back to check on our room. I waited in line and when Carrie was done checking out the client in front of me she welcomed me. However, her pleasant greeting was quickly distracted by a rude customer asking questions about her bill after being helped by another front end staff. I could tell that Carrie was NOT pleased with the way she was interrupted, the thing is…. She was nothing but professional while tending to the needs of this customer even when she has to…",July 2022
48,2022-11-06 13:40:54.389131,Kayla U,Jul 2022,4.0,"Clean room, Great location","Great location to restaurants in river north. The room was very clean, nice, and I would definitely stay here again.  We really wanted to go to the rooftop but it was closed for a private party the night we were there which was disappointing,  so we went to Cerise instead, that is a block away. Staff was friendly!",June 2022
49,2022-11-06 13:40:54.412164,Rod B,Jul 2022,4.0,A Gem in the Loop,"Based on our first visit, the Wit could easily become our hotel of choice when we're in Chicago. The hospitality we received far exceeded our expectations. On a busy holiday weekend, we could only hope to check in early, and alas, our room wasn't ready when we arrived, but the front desk staff, led by the fabulous Carrie, took excellent care of us with gracious generosity (gift certificates to the restaurant, and shockingly, a bottle of prosecco delivered to the room!). The location is supremely convenient--steps from several ""L"" stops and Macy's on State St.--and a pleasant walk along the Chicago River or Magnificent Mile. Rooms are comfortable and sufficiently appointed. I would have liked to visit the rooftop but was told, somewhat abruptly by a staff member, that this wasn't…",July 2022
50,2022-11-06 13:40:55.153115,Michael L,Aug 2022,3.0,Great Location -- Poor Management -- Never Again,Travelled with my 88 yr old mom. Stayed in 2 rooms -- her room the temperature controls did not work.  My room housekeeping never visited.  In both rooms i had to move furniture to plug the phones back in.  Quality Control is non-existent here.  I asked for the manager and was ignored.  Called the Diamond Desk and was promised the manager would call.  Never contacted.  If they treat Hilton Diamonds this way i pity the ordinary guest.  Management simply does not care.  Stay elsewhere.,August 2022
51,2022-11-06 13:40:55.174604,Louis G,Aug 2022,5.0,Best Customer Service!,Shout out to Lidia and Carrie for this great review!  Honesty wasn't to thrilled to stay at the Wit for my buying trip until I meet the wonderful staff at the front desk! They were so welcoming  and funny!  Carrie took care of our group and made the stay 10 out of 10! Would stay again!,August 2022
52,2022-11-06 13:40:55.194472,Lynda L,Aug 2022,5.0,Pleasant and trouble free stay.,"The entire staff was very pleasant and accommodating. Room was spacious, clean, with all necessary amenities. The concierge, Zachary Reed was very helpful, kind, and hospitable. Will return. Recommend a very nice restaurant. Food was delicious and priced reasonably.",August 2022
53,2022-11-06 13:40:55.228943,Jennifer K,Aug 2022,5.0,Great staff and stay,"The staff was great, especially Carrie. There was an issue with the a/c in my room. Rather than having me deal with maintenance coming to fix it, she gave me a new room. And what a room!! Upgraded me which was so sweet or her and really helpful to me. I was staying for five days for client meetings working 14 hour days. She took all my stress away and I slept so good every night and was well rested and ready to go for the meetings every morning. Thanks, Carrie! I will stay at The Wit again because of you!!",July 2022
54,2022-11-06 13:40:55.341817,Vendola L,Jul 2022,5.0,Excellent  service & clean room,"The Wit gave me excellent  service. I strongly recommend  the CEO of Hilton give Zack a $10, 000 bonus. He was the one who gave me accurate information about the hotel and directions of surrounding area. He was greatly helpful for me & my friend. The the people at the front desk need to be recognized, too, they answered all our questions with very polite attitude.  Thank you! The room was very clean, too. The front desk was upfront with me that the housekeeper will not come and cleaned the room everyday; however,  if I needed something let them know & housekeeper will bring it. They did.",July 2022
55,2022-11-06 13:40:55.364002,I love Pancake,Jul 2022,5.0,"Great place, great location","This is a great option for any traveler. Great location, near all public transportation and only a few minutes walk from Millennium Park. The rooms are spacious and really comfortable. Staff is friendly and professional, a special shout out to Victoria at the front desk who was also upbeat and ready to help! Highly recommend!",July 2022
56,2022-11-06 13:40:55.382533,Lillian E,Jul 2022,5.0,llelam09,"We had a great experience. The King Spa room was amazing. I typically don't take baths when I'm traveling,  but I couldn't resist with the deep soaker tube and the beautiful views of the city.  We were greeted as soon as we stepped out of our Uber. All of the Staff was very attentive. We will most definitely be back.",July 2022
57,2022-11-06 13:40:55.432634,amt113,Mar 2022,3.0,Clubbers Delight... Not for our family!,"Just returned from a 4 night stay in Chicago.  Great city and the location is wonderful.  The hotel has a very popular rooftop Club, The Roof.   The lobby and hotel hallways and grounds were filled with intoxicated young adults who had the attention of most of the staff.  Not sure if this is normal for this hotel but it wasn't comforting for our family.   The morning our daughter, husband and 3 month old baby arrived, we spend much time in the lobby, as we do with most hotels we stay in.   That ended once the roof opened.   As nice as the building and location was, this just  wasn't the hotel for our family based trip.  The location is wonderful and walkable to many fabulous restaurants.   Central to public transportation and Millinum Park.  Not sure about the restaurant or room…",March 2022
58,2022-11-06 13:40:55.927321,LLL,Mar 2022,1.0,Worst hotel stay,"Every single day of our almost week long stay something went wrong. A coat sent out for dry cleaning on Friday was missed that night and Saturday, which meant it didn’t go out until Sunday and was returned Sunday night…that equals 3 days in Chicago in March with no coat. Barely an apology from the hotel, the only offer to amend was complimentary dry cleaning ($12 value). I had to ask for more considering we now had to spend money on a winter coat, and finally got the manager to agree to a $100 room service credit. We called to have extra blankets brought to the room at 7p, by midnight no one had come, so we called to cancel…no apology or offer to correct. We called to request the room be cleaned while we were out. When we returned, the room had not been cleaned, but we finally…",March 2022
